crop,N ,P ,K ,ph
Rice,100,50,50,5.5-6.5
Maize,120,60,40,5.8-7.0
Chickpea,20,40,40,6.0-7.5
Kidney Beans,30,50,40,6.0-7.5
Pigeon Peas,25,50,20,6.0-7.5
Moth Beans,20,40,30,6.0-8.0
Mungbean,25,40,20,6.0-7.5
Blackgram,25,40,20,6.0-7.5
Lentil,20,50,30,6.0-7.5
Pomegranate,100,40,80,6.0-7.5
Banana,150,60,200,6.0-7.5
Mango,75,50,75,5.5-7.5
Grapes,120,60,120,6.0-7.5
Watermelon,90,60,80,6.0-6.8
Muskmelon,90,50,80,6.0-6.8
Apple,70,35,70,5.5-6.5
Orange,150,60,150,5.5-6.5
Papaya,120,80,120,6.0-6.5
Coconut,100,40,160,5.0-8.0
Cotton,100,50,50,6.0-7.5
Jute,60,30,30,6.0-7.5
Coffee,120,60,120,6.0-6.5
